symbol,display_name,volume_24h,candles_count,trades,total_pnl,return_pct,profit_factor,win_rate_pct,expectancy,max_drawdown_pct,robustness_score
STBL,STBL,1246141.0137870004,3569,102,-667.7389955659457,-66.77389955659461,0.7250541504084149,46.07843137254902,-6.546460740842606,-69.39600700277367,-100.8140160823202
SUPER,SUPER,108880.39993,5001,84,-678.9902324953651,-67.89902324953647,0.5321054950966967,35.714285714285715,-8.083217053516252,-74.66343310905188,-111.41562456751821
TNSR,TNSR,3112438.0731920004,5001,109,-698.7054815866511,-69.87054815866504,0.607023898266886,33.94495412844037,-6.410142032905056,-73.06851280674324,-103.4581039925514
ACE,ACE,775645.0766339999,5001,112,-702.7470260336684,-70.27470260336683,0.5490038974264844,35.714285714285715,-6.2745270181577535,-75.77842336424332,-104.29256402052596
ZEC,ZEC,39878478.34579998,4200,100,-744.1447410496348,-74.41447410496349,0.5900151790647626,44.0,-7.441447410496348,-74.76542871330548,-111.79718846161623
CRV,CRV,6780286.231659002,5001,118,-751.5810061950873,-75.15810061950876,0.47192277643813585,33.05084745762712,-6.369330560975316,-80.48850353486593,-109.43289152720095
CHILLGUY,CHILLGUY,138251.581337,5001,104,-771.7921126053943,-77.17921126053947,0.466395518225037,36.53846153846153,-7.4210780058211,-80.83747155844824,-116.09917890637615
ZK,ZK,684084.485124,5001,103,-775.7940925799103,-77.57940925799103,0.47910396822021434,31.06796116504854,-7.531981481358352,-83.54170446568155,-118.21211555742934
PURR,PURR,383542.1136880001,5001,133,-801.5833772702463,-80.15833772702462,0.6510394629524907,33.83458646616541,-6.026942686242453,-82.77558327169099,-110.89388541942995
GRIFFAIN,GRIFFAIN,240904.5994250001,5001,129,-808.9780408035449,-80.89780408035452,0.57332683212878,38.759689922480625,-6.271147603128255,-86.7261006644776,-114.58959525453966
MEGA,MEGA,459956.54608,2719,76,-826.0412630152173,-82.60412630152172,0.4527492681591533,35.526315789473685,-10.868963987042333,-83.21346991408778,-136.3601662380448
FARTCOIN,FARTCOIN,15112943.217069006,5001,137,-917.284464527504,-91.72844645275042,0.4371466996917195,38.68613138686132,-6.695507040346745,-92.27992645326486,-124.5088638840016
FOGO,FOGO,192108.1745099999,1532,22,-1168.1247888074877,-116.81247888074877,0.4665431473602858,36.36363636363637,-53.09658130943126,-109.79023835800163,-303.94016094550335
